#,Topic,Question ,Link
151,1,151,https://www.examtopics.com/discussions/google/view/60436-exam-professional-cloud-architect-topic-1-question-151/
152,1,152,https://www.examtopics.com/discussions/google/view/60415-exam-professional-cloud-architect-topic-1-question-152/
153,1,153,https://www.examtopics.com/discussions/google/view/60624-exam-professional-cloud-architect-topic-1-question-153/
154,1,154,https://www.examtopics.com/discussions/google/view/60627-exam-professional-cloud-architect-topic-1-question-154/
155,1,155,https://www.examtopics.com/discussions/google/view/60494-exam-professional-cloud-architect-topic-1-question-155/
156,1,156,https://www.examtopics.com/discussions/google/view/60416-exam-professional-cloud-architect-topic-1-question-156/
157,1,157,https://www.examtopics.com/discussions/google/view/60495-exam-professional-cloud-architect-topic-1-question-157/
158,1,158,https://www.examtopics.com/discussions/google/view/8340-exam-professional-cloud-architect-topic-1-question-158/
159,1,159,https://www.examtopics.com/discussions/google/view/8341-exam-professional-cloud-architect-topic-1-question-159/
160,1,160,https://www.examtopics.com/discussions/google/view/54369-exam-professional-cloud-architect-topic-1-question-160/
161,1,161,https://www.examtopics.com/discussions/google/view/7016-exam-professional-cloud-architect-topic-1-question-161/
162,1,162,https://www.examtopics.com/discussions/google/view/7018-exam-professional-cloud-architect-topic-1-question-162/
163,1,163,https://www.examtopics.com/discussions/google/view/7020-exam-professional-cloud-architect-topic-1-question-163/
164,1,164,https://www.examtopics.com/discussions/google/view/54371-exam-professional-cloud-architect-topic-1-question-164/
165,1,165,https://www.examtopics.com/discussions/google/view/7068-exam-professional-cloud-architect-topic-1-question-165/
166,1,166,https://www.examtopics.com/discussions/google/view/54372-exam-professional-cloud-architect-topic-1-question-166/
167,1,167,https://www.examtopics.com/discussions/google/view/7073-exam-professional-cloud-architect-topic-1-question-167/
168,1,168,https://www.examtopics.com/discussions/google/view/54373-exam-professional-cloud-architect-topic-1-question-168/
169,1,169,https://www.examtopics.com/discussions/google/view/54374-exam-professional-cloud-architect-topic-1-question-169/
170,1,170,https://www.examtopics.com/discussions/google/view/7082-exam-professional-cloud-architect-topic-1-question-170/
171,1,171,https://www.examtopics.com/discussions/google/view/68682-exam-professional-cloud-architect-topic-1-question-171/
172,1,172,https://www.examtopics.com/discussions/google/view/68683-exam-professional-cloud-architect-topic-1-question-172/
173,1,173,https://www.examtopics.com/discussions/google/view/68684-exam-professional-cloud-architect-topic-1-question-173/
174,1,174,https://www.examtopics.com/discussions/google/view/68685-exam-professional-cloud-architect-topic-1-question-174/
175,1,175,https://www.examtopics.com/discussions/google/view/68686-exam-professional-cloud-architect-topic-1-question-175/
176,1,176,https://www.examtopics.com/discussions/google/view/68688-exam-professional-cloud-architect-topic-1-question-176/
177,1,177,https://www.examtopics.com/discussions/google/view/68690-exam-professional-cloud-architect-topic-1-question-177/
178,1,178,https://www.examtopics.com/discussions/google/view/68691-exam-professional-cloud-architect-topic-1-question-178/
179,1,179,https://www.examtopics.com/discussions/google/view/68692-exam-professional-cloud-architect-topic-1-question-179/
180,1,180,https://www.examtopics.com/discussions/google/view/68693-exam-professional-cloud-architect-topic-1-question-180/
181,1,181,https://www.examtopics.com/discussions/google/view/80034-exam-professional-cloud-architect-topic-1-question-181/
182,1,182,https://www.examtopics.com/discussions/google/view/80035-exam-professional-cloud-architect-topic-1-question-182/
183,1,183,https://www.examtopics.com/discussions/google/view/80075-exam-professional-cloud-architect-topic-1-question-183/
184,1,184,https://www.examtopics.com/discussions/google/view/79697-exam-professional-cloud-architect-topic-1-question-184/
185,1,185,https://www.examtopics.com/discussions/google/view/79702-exam-professional-cloud-architect-topic-1-question-185/
186,1,186,https://www.examtopics.com/discussions/google/view/79736-exam-professional-cloud-architect-topic-1-question-186/
187,1,187,https://www.examtopics.com/discussions/google/view/80112-exam-professional-cloud-architect-topic-1-question-187/
188,1,188,https://www.examtopics.com/discussions/google/view/80000-exam-professional-cloud-architect-topic-1-question-188/
189,1,189,https://www.examtopics.com/discussions/google/view/80304-exam-professional-cloud-architect-topic-1-question-189/
190,1,190,https://www.examtopics.com/discussions/google/view/80040-exam-professional-cloud-architect-topic-1-question-190/
191,1,191,https://www.examtopics.com/discussions/google/view/80419-exam-professional-cloud-architect-topic-1-question-191/
192,1,192,https://www.examtopics.com/discussions/google/view/121240-exam-professional-cloud-architect-topic-1-question-192/
193,1,193,https://www.examtopics.com/discussions/google/view/121322-exam-professional-cloud-architect-topic-1-question-193/
194,1,194,https://www.examtopics.com/discussions/google/view/121314-exam-professional-cloud-architect-topic-1-question-194/
195,1,195,https://www.examtopics.com/discussions/google/view/121313-exam-professional-cloud-architect-topic-1-question-195/
196,1,196,https://www.examtopics.com/discussions/google/view/121324-exam-professional-cloud-architect-topic-1-question-196/
197,1,197,https://www.examtopics.com/discussions/google/view/138677-exam-professional-cloud-architect-topic-1-question-197/
198,2,1,https://www.examtopics.com/discussions/google/view/10396-exam-professional-cloud-architect-topic-2-question-1/
199,2,2,https://www.examtopics.com/discussions/google/view/11917-exam-professional-cloud-architect-topic-2-question-2/
200,2,3,https://www.examtopics.com/discussions/google/view/12793-exam-professional-cloud-architect-topic-2-question-3/
201,2,4,https://www.examtopics.com/discussions/google/view/14318-exam-professional-cloud-architect-topic-2-question-4/
202,2,5,https://www.examtopics.com/discussions/google/view/6708-exam-professional-cloud-architect-topic-2-question-5/
203,2,6,https://www.examtopics.com/discussions/google/view/8497-exam-professional-cloud-architect-topic-2-question-6/
